Index,Problem,Percentage,Difficulty,Status
48,2337. Move Pieces to Obtain a String,56.9%,Medium,~visited
49,2184. Number of Ways to Build Sturdy Brick Wall,49.4%,Medium,~visited
50,365. Water and Jug Problem,42.7%,Medium,~visited
51,85. Maximal Rectangle,53.1%,Hard,~visited
52,388. Longest Absolute File Path,48.2%,Medium,~visited
53,4. Median of Two Sorted Arrays,43.2%,Hard,~visited
54,655. Print Binary Tree,65.3%,Medium,~visited
55,2. Add Two Numbers,45.7%,Medium,~visited
56,308. Range Sum Query 2D - Mutable,44.7%,Medium,~visited
57,200. Number of Islands,61.8%,Medium,~visited
58,354. Russian Doll Envelopes,37.2%,Hard,~visited
59,2007. Find Original Array From Doubled Array,40.5%,Medium,~visited
60,418. Sentence Screen Fitting,36.3%,Medium,~visited
61,962. Maximum Width Ramp,55.6%,Medium,~visited
62,1834. Single-Threaded CPU,46.1%,Medium,~visited
63,366. Find Leaves of Binary Tree,81.0%,Medium,~visited
64,1254. Number of Closed Islands,66.7%,Medium,~visited
65,5. Longest Palindromic Substring,35.4%,Medium,~visited
66,818. Race Car,44.0%,Hard,~visited
67,2284. Sender With Largest Word Count,58.0%,Medium,~visited
68,776. Split BST,82.5%,Medium,~visited
69,2973. Find Number of Coins to Place in Tree Nodes,35.8%,Hard,~visited
70,3426. Manhattan Distances of All Arrangements of Pieces,35.7%,Hard,~visited
71,68. Text Justification,47.4%,Hard,~visited
72,42. Trapping Rain Water,64.5%,Hard,~visited
73,2116. Check if a Parentheses String Can Be Valid,44.7%,Medium,~visited
74,295. Find Median from Data Stream,53.1%,Hard,~visited
75,777. Swap Adjacent in LR String,37.4%,Medium,~visited
76,679. 24 Game,49.8%,Hard,~visited
77,1146. Snapshot Array,36.7%,Medium,~visited
78,959. Regions Cut By Slashes,77.7%,Medium,~visited
79,394. Decode String,60.8%,Medium,~visited
80,2290. Minimum Obstacle Removal to Reach Corner,70.0%,Hard,~visited
81,146. LRU Cache,44.7%,Medium,~visited
82,56. Merge Intervals,49.0%,Medium,~visited
83,934. Shortest Bridge,58.4%,Medium,~visited
84,2332. The Latest Time to Catch a Bus,28.0%,Medium,~visited
85,128. Longest Consecutive Sequence,47.1%,Medium,~visited
86,1218. Longest Arithmetic Subsequence of Given Difference,54.5%,Medium,~visited
87,14. Longest Common Prefix,45.1%,Easy,~visited
88,221. Maximal Square,48.4%,Medium,~visited
89,885. Spiral Matrix III,84.5%,Medium,~visited
90,70. Climbing Stairs,53.4%,Easy,~visited
91,1106. Parsing A Boolean Expression,70.0%,Hard,~visited
92,1057. Campus Bikes,58.9%,Medium,~visited
93,346. Moving Average from Data Stream,79.7%,Easy,~visited
94,2779. Maximum Beauty of an Array After Applying Operation,58.0%,Medium,~visited
95,1980. Find Unique Binary String,79.4%,Medium,~visited
96,3356. Zero Array Transformation II,43.8%,Medium,~visited
97,13. Roman to Integer,64.4%,Easy,~visited
98,417. Pacific Atlantic Water Flow,57.1%,Medium,~visited
99,2877. Create a DataFrame from List,81.5%,Easy,~visited
100,1987. Number of Unique Good Subsequences,52.0%,Hard,~visited
101,3419. Minimize the Maximum Edge Weight of Graph,43.2%,Medium,~visited
